Hit	ClusterNumber	LargoSecuencia	Porc+AF8-identity+AF8-Target	CompresedAlignment	LabelQuery	LabelTarget
H	30791	207	98.1	207M	denovo10140	denovo3771
H	22994	224	87.0	207M17D	denovo10138	denovo30692
H	828	208	93.8	208M	denovo10139	denovo10742
H	20358	207	95.7	143M2D62M20I	denovo10141	denovo2832
H	32897	225	93.2	9MI197M19D	denovo1014	denovo4549
H	20826	201	96.0	201M	denovo1015	denovo28741
H	25709	207	96.6	207M	denovo10142	denovo33135
H	14834	207	96.6	207M	denovo10144	denovo23348
H	7058	208	95.7	208M	denovo10146	denovo1635
H	13883	207	95.2	207M	denovo10145	denovo22492
H	270	207	96.1	207M	denovo10149	denovo1024
H	599	229	94.7	207M22D	denovo10151	denovo10536
H	11006	207	96.6	207M	denovo10147	denovo19903
H	27536	207	92.8	207M	denovo10148	denovo34780
H	25635	207	95.7	207M17I	denovo10154	denovo33069
H	18335	208	94.2	208M	denovo10157	denovo265
H	33259	209	97.1	34MD174M	denovo10150	denovo4875
H	2348	206	96.1	53MI153M	denovo10152	denovo1211
H	1743	207	89.9	207M	denovo10153	denovo11566
H	18631	226	95.7	209M17D	denovo1016	denovo26766
H	2626	210	98.6	12MD136MI61M21I	denovo10155	denovo12360
H	26860	207	96.6	207M	denovo10158	denovo34171
H	7154	207	86.1	182MI25M	denovo10165	denovo16436
H	2773	209	96.7	54M2D153M17I	denovo10159	denovo12493
H	22329	208	94.7	208M	denovo10162	denovo30093
H	38201	207	93.7	207M	denovo10161	denovo9322
H	19390	207	96.6	207M	denovo10160	denovo27449
H	4803	207	96.1	207M	denovo10164	denovo1432
H	11895	208	86.1	126MI82M	denovo10172	denovo20702
H	8719	207	95.2	207M	denovo10166	denovo17845
H	3924	207	95.7	207M	denovo10167	denovo13529
H	14255	207	92.8	207M	denovo1017	denovo22827
H	29995	207	95.7	207M	denovo10171	denovo36994
H	36421	228	97.1	209M19D	denovo10169	denovo7720
H	18487	207	96.6	207M	denovo10170	denovo26636
H	5048	208	96.6	208M	denovo10168	denovo14540
H	12045	207	98.1	68MD138M	denovo10173	denovo20838
H	17850	207	94.2	207M	denovo10174	denovo26062
H	11768	207	92.8	207M	denovo10175	denovo20589
H	31945	207	98.6	202MI5M	denovo10179	denovo38749
H	36770	207	97.1	207M	denovo10177	denovo8034
H	2256	207	87.9	207M	denovo10176	denovo12027
H	19006	207	95.7	207M	denovo10178	denovo27102
H	10365	207	96.6	207M	denovo1018	denovo19326
H	34240	207	96.6	207M	denovo10183	denovo5758
H	23057	207	90.8	207M	denovo10180	denovo30749
H	35586	207	86.1	30MI46MD95MD34M	denovo10181	denovo697
H	11003	207	99.0	195MI12M	denovo10184	denovo19900
H	27684	207	95.2	207M	denovo10190	denovo34913
H	25871	208	87.0	188MD19M	denovo10187	denovo33281
H	289	207	89.9	171MI36M	denovo10182	denovo10257
H	35510	208	96.2	75MD132M	denovo10186	denovo6900
H	24530	209	95.7	74MD95MD38M	denovo1019	denovo32074
H	6747	207	96.1	207M	denovo10189	denovo1607
H	18518	207	97.6	181MD17MI8M	denovo10192	denovo26664
H	1098	203	97.1	11MD42MD33M2I60MI23MI32M	denovo10196	denovo10986
H	22462	207	91.3	207M	denovo10194	denovo30212
H	24404	224	92.8	153M2D54M15D	denovo10197	denovo31961
H	1832	206	93.2	206M	denovo10193	denovo11646
H	33134	207	96.6	207M	denovo10195	denovo4762
H	9338	207	93.7	207M	denovo10198	denovo18401
H	15295	207	96.6	207M	denovo102	denovo23763
H	460	207	99.5	207M5I	denovo10199	denovo10410
H	33975	207	95.7	34MI144MD28M	denovo10200	denovo5519
H	35556	227	96.2	208M19D	denovo1020	denovo6942
H	33157	207	96.1	207M	denovo10201	denovo4783
H	4911	209	97.1	50MD103MD54M	denovo10202	denovo14417
H	38123	206	91.8	61M2I145M	denovo10209	denovo9252
H	14609	242	86.3	80MI69M3D16M5D38M31D	denovo10204	denovo23145
H	20064	207	96.6	207M	denovo10203	denovo28055
H	16016	207	97.1	187MI20M	denovo10207	denovo24411
H	25417	210	95.7	9MD121MI57MD21MI	denovo10208	denovo32873
H	33671	207	93.7	207M	denovo10205	denovo5245
H	30669	207	95.2	207M	denovo10206	denovo3760
H	30326	207	98.1	174MD32M19I	denovo10210	denovo37291
H	9592	207	99.0	207M	denovo1021	denovo18630
H	3024	207	88.9	207M	denovo10216	denovo12719
H	27257	207	95.7	207M	denovo10211	denovo34529
H	4504	208	93.8	208MI	denovo10214	denovo14050
H	15542	207	96.1	207M	denovo10212	denovo23986
H	18634	209	83.7	85MD123M	denovo10222	denovo26769
H	12438	207	97.1	11M2I11MD129MD54M17I	denovo10213	denovo21191
H	150	224	95.2	207M17D	denovo10215	denovo10131
H	16886	207	92.3	207M	denovo10217	denovo25195
H	5353	207	99.5	207M	denovo10219	denovo14815
H	33342	207	96.6	207M	denovo10221	denovo495
H	13104	208	92.3	208M	denovo10227	denovo21791
H	30745	207	94.2	207M	denovo10223	denovo37669
H	11420	224	95.4	219M5D	denovo1022	denovo20275
H	5028	207	95.2	207M	denovo10220	denovo14522
H	28005	225	94.7	207M18D	denovo10224	denovo35201
H	22479	207	92.8	207M	denovo10225	denovo30228
H	13634	226	92.3	207M19D	denovo10226	denovo22268
H	9524	207	95.7	207M	denovo1023	denovo1857
H	15221	207	95.2	207M	denovo10230	denovo23697
H	13009	207	95.2	207M	denovo10228	denovo21705
H	25815	207	95.2	207M	denovo10232	denovo33230
H	14969	212	95.2	209M3D	denovo10233	denovo2347
H	5102	207	97.6	207M	denovo10229	denovo1459
H	21071	207	92.3	207M	denovo10234	denovo28962
H	12205	213	75.9	3I27M2D46MI28MD58MI10MI41M	denovo10241	denovo20982
H	38265	219	90.2	2D179M8I18M20D	denovo10236	denovo9380
H	7806	207	84.5	207M	denovo10238	denovo17022
H	23016	207	89.9	207M	denovo10235	denovo30711
H	8640	207	96.1	207M	denovo10237	denovo17774
H	4517	207	99.0	207M	denovo10239	denovo14062
H	26785	207	98.1	197M2I8M2D	denovo1024	denovo34103
H	20555	207	93.8	77MI130M	denovo10242	denovo28498
H	34647	205	93.2	45MD135MI23MD	denovo10246	denovo6123
H	25530	207	98.1	21MD10M2I175M	denovo10240	denovo32975
H	26842	206	93.7	206M	denovo10251	denovo34155
H	4234	208	92.3	208M	denovo1025	denovo13808
H	11427	208	95.7	11MD196M	denovo10243	denovo20281
H	9442	207	95.7	207M	denovo10244	denovo18496
H	1456	207	96.6	207M	denovo10245	denovo11307
H	24322	215	93.5	90MD11MD15MD15MD15MD11M3D30MI20M17I	denovo10248	denovo31888
H	19089	207	96.6	207M	denovo10247	denovo27178
H	4030	207	94.7	207M	denovo10252	denovo13624
H	16962	207	84.5	207M	denovo10255	denovo25263
H	13072	207	96.6	207M	denovo10249	denovo21762
H	33271	207	92.8	207M	denovo10253	denovo4886
H	16016	208	99.5	208M	denovo10258	denovo24411
H	22025	226	96.6	207M19D	denovo10259	denovo29820
H	5661	207	95.7	207M	denovo10256	denovo15092
H	30065	208	96.2	168MD39M	denovo10257	denovo37056
H	36560	207	95.7	181MD25M	denovo1026	denovo7846
H	38677	207	97.1	100MI73MI22MD11M4I	denovo10260	denovo9751
H	6290	207	94.7	207M	denovo10261	denovo15659
H	2260	207	94.7	207M	denovo10264	denovo12030
H	10458	207	94.2	207M	denovo10263	denovo1941
H	21487	207	94.7	207M	denovo10262	denovo29336
H	161	213	94.3	159MD19M2D8MD21M2D	denovo10265	denovo10141
H	6775	205	95.6	41MD128M2D13MD9M2D8M8I	denovo10267	denovo16095
H	34136	207	93.8	58MI149M	denovo10266	denovo5664
H	34344	226	91.8	208M18D	denovo10273	denovo5851
H	9881	207	97.6	207M	denovo10270	denovo18891
H	732	207	94.7	207M	denovo10268	denovo10656
H	8740	207	96.6	207M	denovo10269	denovo17864
H	2465	207	97.6	85MD121M19I	denovo1027	denovo12215
H	36355	207	89.4	207M	denovo10271	denovo7661
H	25613	207	96.6	207M	denovo10272	denovo33049
H	2817	208	95.7	184MD23M	denovo10275	denovo12532
H	28395	273	95.7	123MI71M3D29M2I6M41D	denovo10281	denovo35553
H	19080	207	92.3	207M	denovo1028	denovo2717
H	17627	208	93.8	208M	denovo10274	denovo25862
H	9900	206	81.6	168MI38M	denovo10282	denovo18908
H	24981	207	96.1	207M	denovo10276	denovo32480
H	8065	207	92.3	207M	denovo10277	denovo17256
H	37446	223	97.1	41MI11MI153M18D	denovo10280	denovo8643
H	29478	207	97.6	207M	denovo10278	denovo36528
H	2188	207	93.7	207M	denovo10279	denovo11967
H	31562	207	96.6	207M	denovo10283	denovo38403
H	9493	207	93.2	207M	denovo10285	denovo18541
H	11719	208	97.6	72MD135M	denovo10286	denovo20544
H	18882	207	95.2	207M	denovo10284	denovo26992
H	32920	222	95.7	155MD19MI31M16D	denovo10289	denovo457
H	11800	207	93.2	207M	denovo10287	denovo20617
H	15752	207	98.0	181MI6MI7MI5M8D	denovo10288	denovo24174
H	6464	207	93.2	207M	denovo1029	denovo15815
H	4242	207	96.1	207M	denovo10294	denovo13815
H	21016	208	88.5	208M	denovo10292	denovo28912
H	11003	207	99.0	195MI12M	denovo10290	denovo19900
H	3964	208	94.7	208M	denovo10293	denovo13565
H	20366	207	96.1	207M	denovo10295	denovo28327
H	5643	207	97.6	207M	denovo103	denovo15076
H	12516	217	91.3	207M10D	denovo10296	denovo21261
H	28852	207	92.3	207M	denovo10297	denovo35965
H	14531	207	96.6	207M	denovo10298	denovo23075
H	16437	207	94.2	207M	denovo1030	denovo24791
H	7971	206	93.7	9MD12MI184M	denovo10299	denovo17171
H	12686	207	96.2	88MD111MI7M	denovo10300	denovo21414
H	22262	207	96.6	207M	denovo10304	denovo30032
H	35517	208	96.2	208M	denovo10302	denovo6907
H	17971	207	96.6	207M	denovo10301	denovo26171
H	26037	207	96.6	207M	denovo10305	denovo33430
H	12775	207	98.1	207M	denovo10303	denovo21495
H	35214	205	90.2	205M	denovo10309	denovo6634
H	6617	207	98.6	9MI136MD23MD37M20I	denovo10307	denovo15953
H	2108	207	96.1	207M	denovo10306	denovo11895
H	26462	207	96.1	207M	denovo10308	denovo33813
H	33810	234	96.6	207M27D	denovo10310	denovo5370
H	19380	207	96.6	207M	denovo1031	denovo2744
H	35398	207	94.7	207M	denovo10313	denovo680
H	5461	208	86.5	72MD135M	denovo10312	denovo14912
H	16830	209	96.7	145MD44MD18M17I	denovo10316	denovo25144
H	34941	207	96.1	207M	denovo10314	denovo6389
H	25666	207	90.8	207M	denovo10315	denovo33097
H	38490	208	96.6	208M	denovo10318	denovo9583
H	21380	207	92.3	207M	denovo10322	denovo2924
H	36587	207	96.6	207M	denovo10323	denovo7870
H	293	247	94.8	54MD121M2D32M37D	denovo10319	denovo10260
H	5399	207	92.3	207M	denovo10320	denovo14857
H	19447	207	89.4	207M	denovo1032	denovo2750
H	5411	207	96.1	207M	denovo10321	denovo14868
H	29078	205	96.1	152MI45MI8M	denovo10324	denovo36168
H	8619	207	96.6	207M19I	denovo10326	denovo17755
H	24596	207	95.7	207M	denovo10325	denovo32133
H	3466	208	96.2	31M3D174M17I	denovo10327	denovo13116
H	357	210	94.3	196MD12MD	denovo1033	denovo10318
H	31231	207	92.3	107MI100M	denovo10330	denovo38105
H	19793	207	97.1	207M19I	denovo10328	denovo27811
H	9729	207	91.3	207M	denovo10329	denovo18754
H	7052	207	95.2	207M	denovo10333	denovo16344
H	2953	206	96.6	I206M	denovo10331	denovo12655
H	13422	207	95.2	207M	denovo10338	denovo22077
H	38017	207	95.7	207M	denovo10334	denovo9157
H	26486	209	95.2	209M	denovo10336	denovo33835
H	8378	209	95.3	126MD26MD9M2I9MD6MD29M	denovo10337	denovo17538
H	21103	207	95.2	23MI55M2D37MD41M2D46M17I	denovo10343	denovo28991
H	14717	207	96.6	207M	denovo10335	denovo23242
H	13818	207	96.6	207M	denovo10342	denovo22433
H	671	207	88.4	207M	denovo1034	denovo10600
H	13229	208	93.3	195MD12M	denovo10339	denovo21903
H	32685	207	96.1	207M	denovo10344	denovo4358
H	16934	207	96.1	207M	denovo10340	denovo25238
H	30561	183	87.4	183M	denovo10348	denovo37502
H	25993	226	92.8	207M19D	denovo10341	denovo33391
H	2505	207	91.8	207M	denovo10345	denovo12251
H	21754	227	98.1	207M20D	denovo10349	denovo29577
H	33556	207	95.7	207M	denovo10346	denovo5141
H	34197	207	95.7	207M	denovo10347	denovo5719
H	10998	208	96.6	208M	denovo1035	denovo19897
H	34198	207	95.2	207M	denovo10350	denovo572
H	23877	206	95.2	9MI197M	denovo10351	denovo31487
H	5273	208	88.9	207MD	denovo10352	denovo14743
H	4203	207	90.8	207M	denovo10356	denovo13780
H	23446	208	92.8	208M	denovo10354	denovo31099
H	24376	207	96.6	207M	denovo10357	denovo31936
H	15432	207	95.2	207M	denovo10353	denovo23887
H	4504	208	96.6	208MI	denovo10355	denovo14050
H	2897	207	93.7	207M	denovo10358	denovo12604
H	1945	223	96.6	195MI11M17D	denovo10363	denovo11748
H	29446	207	94.2	207M	denovo10359	denovo365
H	31680	207	92.8	207M	denovo1036	denovo3851
H	9754	207	91.3	207M	denovo10360	denovo18777
H	26707	208	95.7	208M	denovo10362	denovo34033
H	31318	207	96.6	207M20I	denovo10361	denovo38184
H	34537	206	96.1	180MI26M21I	denovo10364	denovo6024
H	18634	225	87.5	208M17D	denovo10371	denovo26769
H	31140	207	94.7	207M	denovo10365	denovo38023
H	24460	210	94.8	167MD21MD7MD12M18I	denovo10369	denovo32010
H	4281	207	96.6	29MI14MD163M	denovo10366	denovo13850
H	20870	206	95.2	135MI71M	denovo10367	denovo28781
H	20362	222	93.2	195MI11M16D	denovo10370	denovo28323
H	8790	212	96.6	207M5D	denovo10368	denovo17909
H	5043	207	94.7	207M	denovo1037	denovo14536
H	13826	207	90.8	207M	denovo10372	denovo22440
H	25557	207	95.2	207M	denovo10375	denovo33
H	19332	207	90.3	207M	denovo10374	denovo27397
H	3214	209	93.8	209M	denovo1038	denovo12890
H	17775	207	95.2	207M	denovo10376	denovo25996
H	15219	227	89.0	56MI152M19D	denovo10380	denovo23695
H	18289	207	88.9	207M	denovo10377	denovo26458
H	18318	207	87.4	207M	denovo10378	denovo26484
H	26966	269	93.3	235MI34M19I	denovo1039	denovo34267
H	12533	207	92.8	207M	denovo10382	denovo21277
H	19259	207	95.2	207M	denovo10381	denovo27330
H	28413	207	96.6	207M	denovo10383	denovo3557
H	30093	207	90.8	207M	denovo10387	denovo37081
H	9921	207	83.1	207M19I	denovo10389	denovo18927
H	25921	207	93.2	207M	denovo10386	denovo33326
H	17910	207	96.1	207M	denovo10388	denovo26116
H	25080	207	96.1	207M	denovo10390	denovo3257
H	29649	207	96.6	113M2D92M19I	denovo10394	denovo36682
H	23784	208	93.8	61MD100MD45M	denovo10398	denovo31402
H	27290	221	96.4	221M9I	denovo104	denovo34559
H	7683	224	95.7	207M17D	denovo10393	denovo16912
H	5710	205	71.2	46M2I12MD41MD66MI38M	denovo10399	denovo15136
H	37205	208	95.7	195MD12M	denovo10396	denovo8426
H	22869	213	94.7	207M6D	denovo10391	denovo3058
H	26516	207	96.6	207M	denovo10395	denovo33862
H	17759	207	97.6	207M	denovo10397	denovo25981
H	33985	207	94.7	194MD12M	denovo10392	denovo5528
H	17979	208	97.6	103MD12MD91M10I	denovo10400	denovo26179
H	23826	207	96.6	207M	denovo10401	denovo31440
H	3016	208	93.3	13MD194M	denovo1040	denovo12711
H	12210	207	96.6	207M	denovo10402	denovo20987
H	19302	208	96.2	183MD24M	denovo10408	denovo2737
H	3409	207	93.7	207M	denovo10403	denovo13065
H	577	207	93.2	207M	denovo10405	denovo10516
H	9169	207	94.7	207M	denovo10404	denovo1825
H	9411	207	96.6	207M	denovo10407	denovo18468
H	12286	207	96.6	207M	denovo10409	denovo21054
H	11823	207	96.6	207M	denovo1041	denovo20638
H	27574	209	87.6	18MI191M	denovo10416	denovo34814
H	22662	207	82.6	207M	denovo10411	denovo30393
H	4995	207	81.2	207M	denovo10412	denovo14493
H	14484	208	96.7	75MI42MI91M16I	denovo10413	denovo23032
H	29004	212	99.5	212M14I	denovo10410	denovo36100
H	21095	207	94.2	207M	denovo10415	denovo28984
H	6053	210	94.3	210M19I	denovo10419	denovo15445
H	5335	207	95.2	207M	denovo10414	denovo148
H	20446	207	96.1	207M	denovo10425	denovo284
H	365	207	94.7	207M	denovo10418	denovo10325
H	9519	206	94.7	68MI138M	denovo10420	denovo18565
H	1878	208	96.2	208M	denovo10417	denovo11688
H	5963	207	95.7	207M	denovo1042	denovo15364
H	24816	207	96.6	207M	denovo10422	denovo32331
H	26767	211	96.7	211M	denovo10421	denovo34088
H	32653	208	99.0	20MI111MI77M	denovo10427	denovo4329
H	25736	207	97.6	173MD6M2I27M	denovo10426	denovo3316
H	34838	207	88.4	207M	denovo10423	denovo6296
H	31239	206	96.1	148MI58M	denovo10429	denovo38112
H	24162	207	92.8	207M	denovo10430	denovo31743
H	5788	207	94.7	156MD50M19I	denovo10428	denovo15206
H	13199	207	96.6	207M19I	denovo1043	denovo21877
H	22478	207	98.6	207M23I	denovo10431	denovo30227
H	20435	208	96.2	40M2D154MD11M15I	denovo10432	denovo2839
H	31837	208	78.0	74MD109MI24M	denovo10438	denovo38651
H	16182	223	97.1	67MI127MI11M18D	denovo10434	denovo24561
H	2030	202	82.2	202M	denovo10441	denovo11824
H	26657	224	97.6	2I205M19D	denovo10435	denovo3399
H	1412	207	96.6	207M	denovo1044	denovo11268
H	29745	225	94.7	207M18D	denovo10436	denovo36769
H	14108	207	87.0	32MD174M	denovo10440	denovo22695
H	5513	225	94.7	206M19D	denovo10437	denovo1496
H	22538	207	96.6	207M	denovo10439	denovo30281
H	7584	225	96.6	207M18D	denovo10448	denovo16823
H	30041	207	96.6	207M	denovo10445	denovo37034
H	11003	207	99.0	195MI12M	denovo10443	denovo19900
H	11377	207	95.2	207M	denovo10442	denovo20236
H	24321	253	91.4	44D16MD58MD133M	denovo1045	denovo31887
H	35652	208	88.9	208M	denovo10453	denovo7028
H	21553	207	94.7	207M	denovo10446	denovo29396
H	31856	224	99.0	9MI10MD187M17D	denovo10444	denovo38669
H	18561	212	97.6	205M7D	denovo10452	denovo26702
H	3710	207	94.7	207M	denovo10449	denovo13336
H	34726	207	96.6	D27MI179M	denovo10450	denovo6195
H	18702	207	90.8	207M	denovo10455	denovo2683
H	20143	206	96.1	90MI116M	denovo10457	denovo28126
H	12171	207	96.6	207M	denovo10454	denovo20951
H	14162	207	96.1	207M	denovo10451	denovo22743
H	36768	207	96.6	207M	denovo10456	denovo8032
H	24659	209	94.7	186M2D21M	denovo10458	denovo32190
H	21559	207	88.4	207M	denovo10459	denovo29400
H	21479	206	96.6	40MI5MI6M2D153M	denovo1046	denovo29329
H	38311	208	84.1	208M	denovo10468	denovo9421
H	2561	206	94.7	104MI102M	denovo10462	denovo12301
H	5942	207	94.2	207M	denovo10461	denovo15345
H	12730	207	96.1	207M	denovo10463	denovo21454
H	25716	207	95.7	207M	denovo10464	denovo33141
H	20019	207	95.7	207M	denovo10465	denovo28014
H	29617	207	96.1	207M	denovo10466	denovo36653
H	13464	210	95.7	77M2D131M	denovo10471	denovo22114
H	33775	206	94.2	206M	denovo10476	denovo5339
H	706	207	87.0	207M	denovo1047	denovo10632
